ts,status,latency_ms
1763132218.1621592,200,98.0682373046875
1763132218.167317,200,68.90082359313965
1763132218.2116659,200,62.08181381225586
1763132218.246919,200,46.19193077087402
1763132218.299733,200,48.494815826416016
1763132218.34002,200,38.55276107788086
1763132218.39218,200,39.653778076171875
1763132218.445198,200,41.6109561920166
1763132218.491955,200,37.31417655944824
1763132218.543628,200,37.934064865112305
1763132218.60407,200,47.45292663574219
1763132218.6502101,200,43.241024017333984
1763132218.7236512,200,66.18380546569824
1763132218.7712462,200,62.65711784362793
1763132218.825446,200,65.7799243927002
1763132218.856096,200,45.29523849487305
1763132218.908958,200,47.51110076904297
1763132218.973289,200,61.496734619140625
1763132219.006968,200,44.064998626708984
1763132219.0566049,200,43.157100677490234
1763132219.116874,200,52.516937255859375
1763132219.175499,200,60.072898864746094
1763132219.22624,200,59.74102020263672
1763132219.264998,200,47.38903045654297
1763132219.3808901,200,61.79928779602051
1763132219.405055,200,34.85989570617676
1763132219.433735,200,165.76576232910156
1763132219.4688141,200,47.56903648376465
1763132219.531554,200,59.9668025970459
1763132219.570626,200,47.94597625732422
1763132219.6208131,200,47.84202575683594
1763132219.735872,200,112.59698867797852
1763132219.742503,200,68.11404228210449
1763132219.7903302,200,64.84079360961914
1763132219.8098428,200,33.26678276062012
1763132219.875484,200,47.84274101257324
1763132219.925441,200,47.49894142150879
1763132219.988714,200,60.4100227355957
1763132220.0316749,200,52.22821235656738
1763132220.0786738,200,48.86889457702637
1763132220.1701849,200,90.21496772766113
1763132220.179883,200,48.82001876831055
1763132220.305572,200,124.31621551513672
1763132220.313068,200,80.6889533996582
1763132220.386517,200,51.92279815673828
1763132220.4275641,200,41.8391227722168
1763132220.4374871,200,154.00433540344238
1763132220.4816818,200,44.19088363647461
1763132220.52277,200,34.61790084838867
1763132220.578091,200,38.88392448425293
1763132220.650031,200,59.737205505371094
1763132220.692641,200,51.27096176147461
1763132220.744171,200,52.22892761230469
1763132220.78964,200,46.62680625915527
1763132220.844152,200,50.683021545410156
1763132220.9039319,200,59.777021408081055
1763132220.957814,200,62.64805793762207
1763132221.005802,200,59.5400333404541
1763132221.045187,200,47.82676696777344
1763132221.11792,200,70.3279972076416
1763132221.1586502,200,59.97204780578613
1763132221.198007,200,48.246145248413086
1763132221.245697,200,45.64309120178223
1763132221.289118,200,38.48600387573242
1763132221.354859,200,53.25007438659668
1763132221.4026299,200,49.92198944091797
1763132221.46318,200,60.427188873291016
1763132221.514724,200,60.848236083984375
1763132221.5667179,200,61.743736267089844
1763132221.600457,200,44.328927993774414
1763132221.719929,200,61.940908432006836
1763132221.752376,200,145.4751491546631
1763132221.76135,200,52.24895477294922
1763132221.809083,200,48.92706871032715
1763132221.8620338,200,51.74398422241211
1763132221.929966,200,68.57490539550781
1763132221.984092,200,71.62284851074219
1763132222.012008,200,48.42805862426758
1763132222.061816,200,48.00105094909668
1763132222.116362,200,52.25396156311035
1763132222.206031,200,39.61801528930664
1763132222.26438,200,149.05476570129395
1763132222.2811468,200,64.5456314086914
1763132222.346743,200,79.80895042419434
1763132222.41314,200,95.76797485351562
1763132222.4355369,200,67.08288192749023
1763132222.482107,200,62.94584274291992
1763132222.522229,200,51.921844482421875
1763132222.582656,200,62.133073806762695
1763132222.6670332,200,44.27695274353027
1763132222.7351391,200,61.62619590759277
1763132222.776478,200,51.83887481689453
1763132222.791252,200,219.57778930664062
1763132222.8531032,200,77.3921012878418
1763132222.886174,200,59.33022499084473
